redshift_z,scale_factor_a,lambda_cdm_w,cdfd_residual_w,delta_vac,rho_lambda_eff_proxy
0.0,1.0,-1.0,-1.018273183998244,0.033,0.9993053860244501
0.011583011583011582,0.9885496183206107,-1.0,-1.0183756403447273,0.03270772522952016,0.9992900964491604
0.023166023166023165,0.9773584905660377,-1.0,-1.0184862245586916,0.032410137242654555,0.999274942290753
0.03474903474903475,0.9664179104477613,-1.0,-1.0186048178553309,0.032107364226541424,0.9992599260109494
0.04633204633204633,0.955719557195572,-1.0,-1.0187311942534558,0.031799533778784334,0.99924505001208
0.05791505791505791,0.9452554744525546,-1.0,-1.0188650127791656,0.0314867728891598,0.9992303166373562
0.0694980694980695,0.9350180505415162,-1.0,-1.0190058109531213,0.031169207921681968,0.9992157281711527
0.08108108108108107,0.9249999999999999,-1.0,-1.0191529998234472,0.03084696459702323,0.9992012868392971
0.09266409266409266,0.9151943462897526,-1.0,-1.0193058607922652,0.03052016797528993,0.999186994809368
0.10424710424710425,0.9055944055944056,-1.0,-1.0194635444615074,0.030188942439152062,0.9991728541910011
0.11583011583011582,0.8961937716262975,-1.0,-1.019625071692911,0.02985341167732582,0.999158867036203
0.1274131274131274,0.886986301369863,-1.0,-1.0197893370382252,0.029513698668407803,0.9991450353396729
0.138996138996139,0.8779661016949153,-1.0,-1.0199551146492467,0.029169925665059823,0.9991313610391316
0.15057915057915058,0.8691275167785235,-1.0,-1.0201210667241973,0.02882221417854274,0.9991178460156575
0.16216216216216214,0.8604651162790699,-1.0,-1.0202857544883872,0.02847068496359834,0.9991044920940303
0.17374517374517373,0.8519736842105264,-1.0,-1.0204476516444998,0.028115458003677537,0.999091301043082
0.18532818532818532,0.8436482084690553,-1.0,-1.0206051601629371,0.027756652496513715,0.9990782745760532
0.1969111969111969,0.8354838709677419,-1.0,-1.0207566282173364,0.027394386840039562,0.9990654143509583
0.2084942084942085,0.8274760383386581,-1.0,-1.0209003700067012,0.02702877861864592,0.9990527219709552
0.22007722007722005,0.819620253164557,-1.0,-1.0210346871456208,0.02665994458978101,0.9990401989847226
0.23166023166023164,0.8119122257053292,-1.0,-1.0211578912499237,0.026288000670888528,0.9990278468868432
0.24324324324324323,0.8043478260869565,-1.0,-1.0212683272987664,0.025913061926682687,0.9990156671181926
0.2548262548262548,0.796923076923077,-1.0,-1.0213643973174407,0.025535242556758726,0.9990036610663346
0.2664092664092664,0.7896341463414634,-1.0,-1.0214445838996324,0.02515465588353689,0.9989918300659223
0.277992277992278,0.7824773413897281,-1.0,-1.0215074730747231,0.02477141434053826,0.9989801753991037
0.28957528957528955,0.7754491017964071,-1.0,-1.0215517760258466,0.02438562946099031,0.9989686982959343
0.30115830115830117,0.7685459940652819,-1.0,-1.0215763491782042,0.023997411866760594,0.998957399934794
0.3127413127413127,0.7617647058823529,-1.0,-1.0215802122045783,0.023606871257616336,0.9989462814428095
0.3243243243243243,0.7551020408163265,-1.0,-1.0215625635355452,0.023214116400808022,0.9989353438962808
0.3359073359073359,0.7485549132947977,-1.0,-1.021522793014606,0.022819255120975056,0.9989245883211144
0.34749034749034746,0.7421203438395415,-1.0,-1.0214604914019068,0.022422394290371257,0.9989140156932591
0.3590733590733591,0.7357954545454546,-1.0,-1.0213754565026238,0.022023639819408174,0.9989036269391478
0.37065637065637064,0.7295774647887324,-1.0,-1.021267695775291,0.021623096647514013,0.9988934229361427
0.3822393822393822,0.7234636871508381,-1.0,-1.0211374253589793,0.02122086873430609,0.9988834045129855
0.3938223938223938,0.7174515235457063,-1.0,-1.0209850655437414,0.020817059051074432,0.9988735724502514
0.4054054054054054,0.7115384615384616,-1.0,-1.0208112327934973,0.020411769572574488,0.998863927480807
0.416988416988417,0.7057220708446866,-1.0,-1.0206167285119623,0.02000510126912634,0.9988544702902714
0.42857142857142855,0.7,-1.0,-1.0204025248178337,0.019597154099018497,0.9988452015174826
0.4401544401544401,0.6943699731903485,-1.0,-1.02016974766303,0.01918802700121356,0.9988361217549657
0.4517374517374517,0.6888297872340425,-1.0,-1.0199196576853309,0.018777817888353542,0.9988272315494052
0.4633204633204633,0.683377308707124,-1.0,-1.0196536292327285,0.018366623640062456,0.9988185314021211
0.4749034749034749,0.6780104712041886,-1.0,-1.0193731280300053,0.01795454009654363,0.9988100217695466
0.48648648648648646,0.6727272727272727,-1.0,-1.0190796879777806,0.0175416620524693,0.9988017030637103
0.498069498069498,0.6675257731958764,-1.0,-1.0187748875802618,0.017128083251160046,0.9987935756527208
0.5096525096525096,0.6624040920716113,-1.0,-1.0184603264904555,0.016713896379051477,0.998785639861253
0.5212355212355212,0.6573604060913705,-1.0,-1.018137602641261,0.016299193060445614,0.9987778959710388
0.5328185328185328,0.6523929471032747,-1.0,-1.0178082903988028,0.015884063852544417,0.9987703442213582
0.5444015444015444,0.6475,-1.0,-1.0174739201319483,0.015468598240762885,0.9987629848095347
0.555984555984556,0.6426799007444168,-1.0,-1.0171359595409382,0.01505288463431901,0.9987558178914309
0.5675675675675675,0.6379310344827587,-1.0,-1.0167957970303503,0.014637010362097993,0.9987488435819478
0.5791505791505791,0.6332518337408313,-1.0,-1.0164547273492484,0.014221061668788115,0.9987420619555252
0.5907335907335907,0.6286407766990292,-1.0,-1.0161139396564862,0.013805123711285425,0.9987354730466439
0.6023166023166023,0.6240963855421686,-1.0,-1.0157745081037708,0.013389280555364664,0.9987290768503299
0.6138996138996139,0.6196172248803828,-1.0,-1.0154373849652272,0.012973615172613674,0.9987228733226594
0.6254826254826255,0.6152019002375296,-1.0,-1.0151033962816653,0.012558209437628427,0.9987168623812667
0.637065637065637,0.6108490566037736,-1.0,-1.014773239932066,0.012143144125466094,0.9987110439058515
0.6486486486486486,0.6065573770491803,-1.0,-1.0144474859953263,0.011728498909353218,0.9987054177386891
0.6602316602316602,0.6023255813953489,-1.0,-1.0141265792230405,0.011314352358646251,0.9986999836851405
0.6718146718146718,0.5981524249422633,-1.0,-1.0138108434097186,0.010900781937041706,0.9986947415141635
0.6833976833976834,0.5940366972477065,-1.0,-1.0135004874208098,0.010487864001032951,0.9986896909588259
0.6949806949806949,0.5899772209567198,-1.0,-1.0131956126212323,0.010075673798610879,0.9986848317168177
0.7065637065637065,0.5859728506787331,-1.0,-1.012896221437668,0.009664285468205677,0.998680163450965
0.7181467181467182,0.5820224719101124,-1.0,-1.0126022267861923,0.009253772037866669,0.9986756857897442
0.7297297297297297,0.578125,-1.0,-1.0123134621022405,0.008844205424677488,0.9986713983277962
0.7413127413127413,0.574279379157428,-1.0,-1.012029691721617,0.008435656434403582,0.998667300626441
0.7528957528957528,0.5704845814977973,-1.0,-1.0117506213783105,0.008028194761369255,0.9986633922141934
0.7644787644787644,0.5667396061269148,-1.0,-1.0114759086062206,0.0076218889885612436,0.9986596725872771
0.7760617760617761,0.5630434782608695,-1.0,-1.011205172856508,0.007216806587955968,0.9986561412101395
0.7876447876447876,0.5593952483801296,-1.0,-1.010938005169059,0.006813013921067524,0.9986527975159675
0.7992277992277992,0.555793991416309,-1.0,-1.0106739772645157,0.006410576239713438,0.9986496409072009
0.8108108108108107,0.5522388059701493,-1.0,-1.0104126499515014,0.006009557686995286,0.9986466707560474
0.8223938223938223,0.548728813559322,-1.0,-1.0101535807712732,0.005610021298491273,0.9986438864049955
